product_id,product_popularity,product_reorder_rate,product_distinct_users
1,1852,0.6133909287257019,716
2,90,0.13333333333333333,78
3,277,0.7328519855595668,74
4,329,0.44680851063829785,182
5,15,0.6,6
6,8,0.375,5
7,30,0.4,18
8,165,0.503030303030303,82
9,156,0.5256410256410257,74
10,2572,0.5069984447900466,1268
11,104,0.5673076923076923,45
12,246,0.5121951219512195,120
13,9,0.3333333333333333,6
14,17,0.11764705882352941,15
15,4,0.25,3
16,19,0.10526315789473684,17
17,18,0.1111111111111111,16
18,137,0.5985401459854015,55
19,4,0.0,4
20,6,0.16666666666666666,5
21,10,0.2,8
22,43,0.4418604651162791,24
23,1068,0.448501872659176,589
24,13,0.46153846153846156,7
25,2166,0.6421975992613111,775
26,334,0.7395209580838323,87
27,184,0.41847826086956524,107
28,706,0.5226628895184136,337
29,218,0.37155963302752293,137
30,81,0.4567901234567901,44
31,96,0.16666666666666666,80
32,543,0.6758747697974218,176
33,32,0.4375,18
34,6536,0.6009791921664627,2608
35,311,0.33440514469453375,207
36,129,0.27906976744186046,93
37,769,0.4187256176853056,447
38,17,0.058823529411764705,16
39,9,0.2222222222222222,7
40,79,0.569620253164557,34
41,49,0.6530612244897959,17
42,13,0.07692307692307693,12
43,221,0.15384615384615385,187
44,391,0.5805626598465473,164
45,18413,0.6554608157280183,6344
46,151,0.7682119205298014,35
47,333,0.5345345345345346,155
48,10,0.0,10
49,2308,0.574523396880416,982
50,287,0.3797909407665505,178
51,7,0.14285714285714285,6
52,28,0.6071428571428571,11
53,151,0.45695364238410596,82
54,1095,0.5689497716894977,472
55,40,0.15,34
56,30,0.26666666666666666,22
57,157,0.03184713375796178,152
58,69,0.43478260869565216,39
59,28,0.35714285714285715,18
60,51,0.2549019607843137,38
61,17,0.23529411764705882,13
62,27,0.2962962962962963,19
63,1129,0.4738706820194863,594
64,20,0.4,12
65,157,0.29936305732484075,110
66,236,0.5296610169491526,111
67,41,0.1951219512195122,33
68,62,0.3709677419354839,39
69,19,0.2631578947368421,14
70,155,0.0967741935483871,140
71,37,0.21621621621621623,29
72,13,0.15384615384615385,11
73,29,0.27586206896551724,21
74,180,0.36666666666666664,114
75,102,0.24509803921568626,77
76,3,0.0,3
77,298,0.6342281879194631,109
78,11,0.2727272727272727,8
79,3585,0.5344490934449093,1669
80,4,0.0,4
81,43,0.5813953488372093,18
82,35,0.2857142857142857,25
83,594,0.49158249158249157,302
84,124,0.21774193548387097,97
85,4,0.0,4
86,130,0.49230769230769234,66
87,747,0.3668005354752343,473
88,18,0.3333333333333333,12
89,34,0.29411764705882354,24
90,47,0.5106382978723404,23
91,5,0.4,3
92,5,0.0,5
93,1843,0.6310363537710255,680
94,879,0.6837315130830489,278
95,2787,0.1478292070326516,2375
96,198,0.10101010101010101,178
97,168,0.27380952380952384,122
98,39,0.48717948717948717,20
99,646,0.5804953560371517,271
100,437,0.5606407322654462,192
101,177,0.6666666666666666,59
102,185,0.1891891891891892,150
103,8,0.375,5
104,100,0.35,65
105,18,0.0,18
106,498,0.5642570281124498,217
107,60,0.55,27
108,145,0.6413793103448275,52
109,51,0.5686274509803921,22
110,14,0.35714285714285715,9
111,93,0.34408602150537637,61
112,63,0.20634920634920634,50
113,106,0.3113207547169811,73
114,35,0.11428571428571428,31
115,388,0.5850515463917526,161
116,4359,0.6958017894012388,1326
117,3636,0.827007700770077,629
118,216,0.48148148148148145,112
119,30,0.3,21
120,14,0.14285714285714285,12
121,1202,0.4800332778702163,625
122,162,0.05555555555555555,153
123,846,0.06619385342789598,790
124,166,0.6506024096385542,58
